Manufacturer,Year,Sales,Avg_Price,Customer_Satisfaction
Chevrolet,2018,332918,38752,3.2787121481456483
Mazda,2013,328105,91908,4.382443715219309
Mercedes,2020,328277,76268,4.630108856804914
Kia,2015,167729,54952,3.8104961760553775
Volkswagen,2019,481627,16622,3.2131574602573485
Volkswagen,2020,14263,61828,4.330073349092511
Audi,2019,462268,26664,3.8375410497841465
Lexus,2011,111371,53709,4.476067232852741
Tesla,2014,21555,93617,3.136499410708183
Mazda,2017,266010,87355,4.4380918103684905
Audi,2017,388165,43769,3.7932987461041083
Mercedes,2017,425008,74129,3.0623662701225696
Fiat,2012,470514,46987,3.1028516269685005
Chevrolet,2020,76017,62304,4.541824407491644
Kia,2018,438327,52904,3.8255871012135048
Mazda,2017,65337,28350,3.151866820739244
Land Rover,2014,96123,90186,3.544290274459925
Honda,2021,61474,84626,4.924197571528236
Jaguar,2019,46408,72134,3.173410423724367
Porsche,2017,403554,86431,4.277898770668523
Jaguar,2016,457972,82957,4.274463159578974
Hyundai,2018,196833,77552,4.293329838234326
Kia,2022,431151,52641,4.176527513939862
Jaguar,2016,97833,71276,3.946420236162667
Audi,2014,296214,84768,3.385198055571261
Hyundai,2011,51786,21737,4.490129096240441
Fiat,2016,291570,52265,4.044869152142338
Audi,2010,99613,89910,3.729394498914612
Subaru,2021,460348,93945,4.769996713046562
Mazda,2017,161734,38510,3.1307126815978847
Volvo,2017,278784,59547,4.581446329677927
Chevrolet,2011,123824,94273,4.753330755724899
Honda,2016,133618,67393,4.980682626683555
Chevrolet,2022,236577,63543,4.865179818850506
Audi,2013,317228,44629,3.1770868212272365
Subaru,2018,305183,98691,4.96816693839859
Nissan,2018,296718,18430,4.045038383269047
Toyota,2010,12050,48933,3.5940057529097644
Land Rover,2013,436129,55600,3.5545312913935474
Lexus,2018,407710,95688,3.783260281080712
BMW,2021,53001,82364,4.572690028831104
Mazda,2021,440789,15806,4.758236615124329
Lexus,2017,170829,49636,4.978369819626717
Audi,2013,203283,69842,3.803160472850975
Tesla,2022,437373,92129,3.0938907142956262
Kia,2010,196626,29199,3.70025051833346
Mercedes,2015,475966,81262,4.767571769926851
Ford,2013,159369,45448,3.3477904984389744
Nissan,2012,266689,40425,4.392041236107584
Ford,2012,333557,69028,3.447635229645246
Volvo,2018,200792,49701,4.720253632835847
Mazda,2018,252615,38874,3.54591874971263
Kia,2012,375464,40931,3.07084473683709
Volvo,2017,314664,79772,4.470425309046906
Honda,2017,377739,48742,3.0101642796360517
Mercedes,2019,51873,24903,4.366517527319192
Mercedes,2022,55648,24516,3.961173154653296
Tesla,2019,138322,16591,4.324224020213129
Hyundai,2020,495324,22314,4.736321608103093
Toyota,2020,468298,98624,3.6680177574904755
Chevrolet,2018,167364,84274,4.505433279115282
Audi,2014,58874,64708,4.743687055490464
Tesla,2016,88249,17719,3.670237708518284
Audi,2011,422003,63845,4.51327160756987
Subaru,2016,85713,75461,3.6528671530065857
Kia,2010,173038,87545,4.268011406199223
Chevrolet,2012,142079,85981,3.566685896531163
Audi,2019,490488,57207,4.6802430054824375
Volvo,2014,408300,97197,4.874456974472903
BMW,2011,148563,65192,4.5419685850642715
Jaguar,2019,281221,35953,3.1493888355157083
Land Rover,2011,164893,52567,4.352104514373509
Subaru,2013,494090,36427,4.516526391858045
Audi,2022,133786,59064,3.6472204382990823
Volvo,2012,299226,44241,3.002058959691267
Honda,2011,242732,29288,3.204387239387438
Kia,2016,209950,56846,4.651841531599793
Mazda,2013,454191,75545,4.545645560033609
Fiat,2015,480474,37042,4.7361086450645855
Subaru,2017,370027,48756,4.887231840335198
Porsche,2014,431818,68331,3.7951887959255886
Mercedes,2012,277770,22424,3.6414854808762547
Volkswagen,2011,405196,63290,3.062268165769023
Subaru,2011,441374,38019,3.9464198133831143
Hyundai,2021,442557,20776,3.1823289808123834
Hyundai,2020,253373,45707,3.0357237849566387
Subaru,2014,408871,59859,4.935022527227556
Fiat,2018,57837,26536,4.214612896525343
Fiat,2013,280856,80455,3.9831890934828738
Honda,2017,92503,44759,3.9104402981636026
Hyundai,2014,264225,41589,3.7849871128133694
Lexus,2015,167215,21154,4.389963772253085
Toyota,2021,292725,67648,3.0792376506967143
Tesla,2017,216376,58408,3.205584808985331
Lexus,2015,498533,63787,3.6920331352896794
Hyundai,2011,204555,64153,4.06848441195289
Kia,2022,487085,71985,3.793846552403192
Honda,2015,164470,65861,4.386387881645362
Volvo,2011,206713,24078,4.340770916708824
Hyundai,2020,329804,64786,3.063172289651284
Volkswagen,2018,402550,41015,3.5976717726746275
Subaru,2017,374359,41289,4.250609320427896
Fiat,2020,110734,41630,4.321640236598501
Porsche,2013,283797,42961,4.567665106837724
Ford,2018,263627,51877,3.1632599640611794
Subaru,2016,120091,16560,4.743567133184404
Tesla,2016,395773,67579,4.488558131189912
Tesla,2021,292193,90717,4.438403556544528
Mercedes,2017,275064,75315,3.3990849018582905
Ford,2022,245612,31309,3.0613050044116124
Toyota,2016,433243,87541,4.921561102973953
Fiat,2014,481555,40963,4.5354477761335605
Land Rover,2010,352962,19703,4.176116756180159
Honda,2013,53585,41958,4.8014037280225175
Volkswagen,2016,415417,44426,4.184700657186724
Subaru,2012,189436,99878,3.4715841879184195
Hyundai,2013,426495,93301,3.359366217740484
Subaru,2011,305286,41916,4.708770186739159
Chevrolet,2018,176205,65677,4.741499802545023
Volvo,2017,307190,62064,4.32524255801664
Audi,2015,111520,76272,4.938824644670575
Honda,2012,154832,36927,4.197427960200216
BMW,2022,393894,67233,3.146993494660025
Lexus,2019,212332,91619,4.657766731765219
Toyota,2014,255011,94530,4.8971667097028675
Fiat,2021,226184,50946,4.472804030131281
Mercedes,2021,102324,24847,4.611340305900106
Volvo,2015,141691,98194,3.2238392387954558
Land Rover,2011,207576,62614,3.462261824855293
Toyota,2016,404274,91260,4.86775003505581
Mercedes,2010,150272,79178,3.083145718100784
Nissan,2013,258500,50057,4.930237392872091
Mazda,2011,55272,76212,4.735836589040044
Volvo,2020,340929,24110,4.333728515092209
Fiat,2016,295055,47556,3.2870847240787855
Land Rover,2019,486027,19470,3.324763789324642
Toyota,2016,164268,28669,4.736284508755011
Volvo,2011,58320,62414,4.957262574801061
Mazda,2019,267437,70409,3.4882945808447485
Hyundai,2017,382592,65138,4.861897391013955
Lexus,2013,111376,46890,4.88175071267613
Lexus,2014,445503,93916,4.154370473423496
Honda,2011,420303,20704,4.73287733505529
Porsche,2022,168280,81024,3.2182192635314992
Honda,2022,242549,44165,4.851349661761423
Tesla,2015,46321,88297,4.755782318082655
Tesla,2022,375898,18712,3.240418110741217
Audi,2018,61924,18726,4.260417496658288
Audi,2014,218786,50643,4.096999443302954
Toyota,2010,149999,37443,3.029334114092528
Mazda,2012,479959,75233,4.518688655845732
Kia,2012,32612,21471,4.038163570272436
Volkswagen,2021,41348,79732,3.6824956552523127
Subaru,2014,91889,68551,4.160344738454665
Subaru,2013,345914,41966,4.625971477432187
Land Rover,2021,350858,73348,4.644786837634117
Mazda,2016,473183,74182,3.1425605401103276
Volvo,2018,138803,23906,3.7601490178744106
BMW,2014,255900,52650,3.202841656898433
BMW,2014,365891,51378,4.859211754843979
Ford,2017,131999,69691,4.435271571817259
Honda,2010,184668,38171,4.64634803119132
Mazda,2016,386158,59139,3.362876695391254
Chevrolet,2016,492238,33743,4.586814516295675
Nissan,2017,165683,27149,4.611985099550316
Toyota,2021,343175,57668,4.266302751188045
Chevrolet,2016,206501,38669,4.0303503406674634
Kia,2019,47384,96929,3.349546885654754
Nissan,2017,212903,49084,3.60412100366959
Tesla,2013,148299,46910,4.335099798582941
Land Rover,2012,353715,80481,3.9035353574744582
Land Rover,2014,205246,41160,4.473747489888364
Honda,2010,289158,95532,3.1914291110403235
Porsche,2014,26014,48755,3.412372329036853
Mazda,2019,215768,42213,4.264030972040837
Honda,2012,14358,80108,4.351682490174752
Nissan,2015,491916,46910,4.449033702797236
Mazda,2016,119847,44371,4.6374141142384655
BMW,2019,306037,91329,4.811049584659347
Chevrolet,2013,383479,88379,3.3837346494374856
Hyundai,2010,413322,83008,4.234311566791294
Chevrolet,2010,336459,84249,4.339205232267924
Subaru,2020,145327,29484,3.54229487300037
Hyundai,2011,345938,60113,3.6660038261163956
Volkswagen,2011,261051,34201,3.725888543691984
Ford,2011,281830,68363,3.1202846852015704
Subaru,2019,464179,57828,4.269920091182066
Volvo,2018,301126,15207,3.818955706010408
Porsche,2021,170400,61479,4.329823448974436
Fiat,2012,241055,96437,3.469284163710907
Tesla,2017,39301,77711,4.079914260561119
Fiat,2015,393381,71273,4.57580397658453
Toyota,2014,86559,25699,4.564056175340772
Honda,2022,128413,31163,3.606256711890657
Land Rover,2022,134481,99328,3.175285493527677
Kia,2010,458330,53067,3.5594070769429584
BMW,2011,243782,98362,4.572551913514189
Volvo,2015,212043,79612,3.782085526116349
Subaru,2010,153401,40169,4.255900105545272
Nissan,2015,193362,46750,3.6093582781960816
Kia,2014,296370,21721,3.307582299336062
Ford,2011,213981,70249,4.281944154690664
Honda,2018,466956,79309,3.627455382388192
Lexus,2010,232317,46055,4.529619601805991
Fiat,2012,176370,66112,4.650401534831136
Chevrolet,2014,258289,32347,3.2703325783096453
BMW,2022,401099,22967,3.24407010424879
Chevrolet,2013,261537,67188,3.211329368523488
Volkswagen,2022,481082,75545,4.300402184796306
Tesla,2012,482580,57913,3.91960084753864
Honda,2020,453057,61332,4.238995502815175
Volvo,2018,178918,74474,3.3413295170999966
Kia,2021,235469,43141,3.2020916220212934
Porsche,2021,51568,61851,4.993393707705954
Jaguar,2014,470134,49171,3.6125072415732236
Fiat,2013,284555,72009,3.261420753480399
Fiat,2022,483570,41715,3.9632696930697247
Audi,2014,86373,84252,3.0220625288572944
Honda,2020,16548,88294,4.164296459559944
Audi,2014,499536,75428,3.0242415492877868
Land Rover,2022,197604,31052,4.603074223765979
Chevrolet,2013,313568,68744,4.095918977947386
Fiat,2016,301444,25749,3.3000973293879685
Fiat,2021,436577,36223,4.621371855972533
Fiat,2022,423093,70316,4.912444381297897
Jaguar,2018,434127,47784,4.3173842924148875
Kia,2010,205713,64723,3.152833718876103
Toyota,2019,100353,35281,3.506116865601569
Hyundai,2014,263211,43602,3.9002488648395195
Jaguar,2010,17099,40431,4.7649188809122
Mercedes,2021,73936,37614,4.360455558416707
Chevrolet,2017,333064,78530,4.318071068407361
Tesla,2017,99570,91816,4.91300279659896
Hyundai,2019,151214,63355,3.699406459491699
Volvo,2012,135426,79027,3.709682720513781
Mercedes,2014,114797,91295,3.530092856650008
Volkswagen,2021,427104,32630,4.564969849127876
Hyundai,2018,176216,67161,4.334700796092857
Ford,2010,192051,21979,4.549267561275576
Kia,2018,133257,76558,3.0839024468632728
Land Rover,2019,44964,40227,3.948672219812428
Honda,2015,240156,54071,4.496146358859065
Honda,2020,157977,60838,3.221615924359614
Land Rover,2016,186072,37168,3.751985779882623
Lexus,2021,452361,92425,4.886151675489415
Fiat,2014,349115,79946,4.773849800418539
Ford,2019,134447,63758,4.758537319995677
Subaru,2018,316094,71849,4.272141527459651
Hyundai,2017,327677,97566,3.361189196350602
Mazda,2015,68005,73712,4.874776132994238
Chevrolet,2011,154129,79028,4.370596032231747
Fiat,2020,189761,59638,3.9767882601298794
Subaru,2022,380965,18754,4.516370022153074
Toyota,2017,18706,23894,3.211861425116986
Audi,2021,271486,24496,4.522243074086316
Volvo,2017,51321,80095,3.493357729043246
Mercedes,2012,485584,53787,3.198356199174432
Nissan,2011,251130,83056,4.110169898604573
Lexus,2016,482794,40498,4.375768219759831
Porsche,2022,127235,99899,3.0104592270858257
Subaru,2010,204509,28944,4.916146960238761
Fiat,2020,177823,20110,3.9406381082035713
Tesla,2014,354761,24596,4.286730359823569
Nissan,2017,207621,38705,3.783051396355659
Hyundai,2016,200868,95073,4.239178674919682
BMW,2021,43848,52804,3.1859812796462643
Audi,2013,439276,84122,3.129707188965937
Porsche,2019,367430,21643,4.121320188832342
Honda,2011,417442,78646,3.045865622536084
Tesla,2010,78926,20997,3.297999472298487
Chevrolet,2021,469293,36817,4.415361869481831
BMW,2012,67775,96580,3.2949050534125677
Jaguar,2016,86256,48937,3.7428440037460913
Jaguar,2020,428267,42386,4.533177047943287
Chevrolet,2010,463008,60253,4.272354729416465
Porsche,2020,171326,99045,4.494439175484075
Audi,2018,13471,23329,3.6690225774838643
Chevrolet,2020,103808,21397,4.172958184377414
Volkswagen,2010,231178,98820,4.565163879702676
Tesla,2019,297266,85553,4.7454605009692035
Mercedes,2013,143168,40279,3.96593774417071
Volkswagen,2019,160787,44309,4.45587861394753
Land Rover,2012,366992,17839,4.459016457304793
Volkswagen,2018,416709,32069,4.220450298955282
Fiat,2017,72424,60603,3.026805252864331
Subaru,2019,364717,24557,3.523411367471812
Ford,2016,29675,88997,3.499092399699012
Porsche,2015,241390,24833,4.689578872572043
Volkswagen,2021,51800,20347,3.067227200366565
Fiat,2011,290825,65026,3.2784907422351903
BMW,2011,374448,45682,3.694686652517685
Volvo,2011,125359,22927,4.096641167452848
Volvo,2016,75428,65601,4.655736750644346
Lexus,2018,423860,33745,4.9591016807635135
Mercedes,2012,259430,49521,3.3823814029295782
Jaguar,2012,460930,77292,4.217054545392934
Kia,2010,17345,44300,3.45063385990247
Nissan,2018,139350,48365,4.12244557656505
Jaguar,2017,107852,22521,3.8079557526530965
Mazda,2018,327862,59629,4.097677313440117
Honda,2015,322813,93021,4.6938374561771194
Nissan,2014,398612,98457,4.3283758290108345
Honda,2019,75633,91943,3.823531083169017
Audi,2015,268635,89071,4.573940269835333
Volkswagen,2021,80202,63777,4.956123635947057
Tesla,2010,309967,78878,4.744271400044953
BMW,2013,434149,20774,3.4097625483014253
Volvo,2015,418155,15781,3.4775924227630783
Kia,2017,28489,54961,4.11596147756528
Honda,2018,163335,28565,3.6873263852182063
Subaru,2010,453945,56971,4.596688376448657
Audi,2013,167462,66578,3.7608400150151247
Tesla,2014,236058,17551,3.3734465915460827
Hyundai,2017,454923,48243,4.514963769578834
Mercedes,2014,410455,21710,4.285349315344847
Volvo,2017,220129,21971,4.391798236337605
Subaru,2011,487958,52711,4.714358513997506
Ford,2020,220545,16898,4.967042945430444
Toyota,2021,488336,80031,4.787979420015741
Porsche,2020,231796,82843,4.597186544765503
Lexus,2015,278050,17591,3.2352879763186504
Mazda,2016,377631,69400,3.835521958550199
Chevrolet,2011,273427,48691,4.763855516609288
Mercedes,2018,65426,41819,4.438707244738318
Honda,2019,271501,47994,3.3748238881951647
Kia,2013,105665,15645,4.420485597246623
Subaru,2018,433306,67142,4.303335837412852
Kia,2014,222695,61305,4.638510209742922
Subaru,2021,200237,84615,4.424028040661561
Toyota,2014,331186,33099,4.810719748555741
Tesla,2011,212041,48866,4.302295169763348
Porsche,2015,147488,87516,4.612391762007581
Volvo,2020,477874,93112,3.2525294831290052
Porsche,2011,142161,52346,4.372654393372195
Volvo,2016,86229,53547,3.4543591140470298
Hyundai,2016,445030,90330,4.3883011470196625
Volvo,2015,122782,86906,4.5263105825177785
Lexus,2013,320925,70267,4.7424089645261045
Audi,2018,60939,44516,4.797694776360495
Tesla,2010,358805,87954,3.000376799113164
Honda,2017,475453,17597,3.453460765847021
Hyundai,2012,187810,86678,3.2214411866526316
Fiat,2010,149544,38383,3.0543500321816883
Volkswagen,2016,63909,33351,4.415376652661237
Lexus,2012,488082,36778,4.609813553682877
Fiat,2022,189526,43365,4.453341984140646
Tesla,2013,145565,65085,3.2404944530233513
BMW,2017,53472,64437,3.0922471286714677
Toyota,2017,74307,61733,4.196714968595518
Ford,2018,102493,86363,3.128982542498335
Hyundai,2011,353912,69869,4.784604996279304
Porsche,2022,84813,66631,3.0693405334529666
Ford,2020,337231,44165,4.711392187675079
Mercedes,2013,54900,57946,3.9767492579658774
Kia,2022,237208,61403,4.737103012640578
Honda,2017,69871,47174,3.164414127423563
Subaru,2018,298793,97325,4.214179157437508
Tesla,2015,106019,76944,4.405267546171032
BMW,2016,158934,58355,3.2084496056166953
Subaru,2022,280914,26093,3.5253512851973037
Honda,2020,283334,77824,4.012532118990405
Volkswagen,2015,12261,41512,3.079531929977139
Volkswagen,2019,145450,55583,3.477713320803855
Nissan,2010,121032,90868,3.9459426921910206
Ford,2017,83869,20410,3.894936282644916
Fiat,2017,212416,21796,4.074014976702717
Jaguar,2010,330701,32543,3.0734427250016423
Toyota,2019,368182,31724,3.877076977074871
Nissan,2020,337477,65952,4.633364350901436
Jaguar,2018,402720,48623,4.063198929208862
Audi,2016,340792,37054,3.9870931606802373
Mazda,2012,162458,98276,4.858853388946228
Chevrolet,2010,447415,76035,4.459720617696957
Hyundai,2017,201420,70284,3.5163465083823384
